pmid,journal,doi,issn,publisher
32822048,Methods Mol Biol,10.1007/978-1-0716-0876-0_31,1940-6029,Springer New York
11527210,Biochem Cell Biol,,0829-8211,Canadian Science Publishing
15323363,J Biol Regul Homeost Agents,,0393-974X,
18029619,Nucleic Acids Symp Ser (Oxf),10.1093/nass/nrm064,1746-8272,Oxford University Press (OUP)
11431439,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
35096325,Arch Razi Inst,10.22092/ari.2021.355942.1743,2008-9872,DoNotEdit
11061890,J Urol,,0022-5347,Ovid Technologies (Wolters Kluwer Health)
20684312,Sheng Wu Gong Cheng Xue Bao,,1000-3061,
21651842,Zhonghua Shao Shang Za Zhi,,1009-2587,
11888884,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
22071418,Stomatologija,,1822-301X,
22238987,Eksp Klin Farmakol,,0869-2092,Folium Publishing Company
10706597,J Lipid Res,,0022-2275,Elsevier BV
10842321,J Cell Biochem,,0730-2312,Wiley
22108332,Biomed Environ Sci,10.3967/0895-3988.2011.04.014,0895-3988,Elsevier BV
23113356,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
12454415,Biorheology,,0006-355X,Elsevier BV
12368377,J Nucl Med,,0161-5505,Society of Nuclear Medicine
37968076,Zhonghua Zhong Liu Za Zhi,10.3760/cma.j.cn112152-20220901-00590,0253-3766,
23530434,Vopr Pitan,,0042-8833,Geotar-Media Publishing Group
26579576,J Physiol Pharmacol,,1899-1505,
20302012,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
21961290,Ross Fiziol Zh Im I M Sechenova,,0869-8139,The Russian Academy of Sciences
12014627,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
36097779,Zhong Nan Da Xue Xue Bao Yi Xue Ban,10.11817/j.issn.1672-7347.2022.200708,1672-7347,
32196604,Eur Rev Med Pharmacol Sci,10.26355/eurrev_202003_20521,2284-0729,
19334633,Biofizika,,0006-3029,Pleiades Publishing Ltd
23189697,Ying Yong Sheng Tai Xue Bao,,1001-9332,
36793649,Acta Myol,10.36185/2532-1900-085,2532-1900,
31894004,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
15634588,Zhonghua Xue Ye Xue Za Zhi,,0253-2727,
31841194,Eur Rev Med Pharmacol Sci,10.26355/eurrev_201912_19679,2284-0729,
22678787,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,10.3760/cma.j.issn.1003-9406.2012.03.006,1003-9406,
10604950,J Pharmacol Exp Ther,,0022-3565,American Society for Pharmacology & Experimental Therapeutics (ASPET)
19137742,Genetika,,0016-6758,Akademizdatcenter Nauka
31599439,Eur Rev Med Pharmacol Sci,10.26355/eurrev_201909_19030,2284-0729,
15928608,Mol Vis,,1090-0535,
37020577,Can J Vet Res,,1928-9022,
20942123,Nihon Rinsho,,0047-1852,
11309342,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
11292255,Cell Mol Biol (Noisy-le-grand),,0145-5680,CMB Association
24331534,Biomed Environ Sci,10.3967/bes2013.018,0895-3988,Elsevier BV
26118250,Ideggyogy Sz,,0019-1442,Ideggyogyaszati Szemle Journal
36151813,Sheng Wu Gong Cheng Xue Bao,10.13345/j.cjb.220199,1872-2075,Elsevier BV
16894884,Sheng Wu Gong Cheng Xue Bao,,1000-3061,
12872986,Mol Cells,,1016-8478,Elsevier BV
23229667,G Ital Nefrol,,0393-5590,
17523450,Eksp Klin Farmakol,,0869-2092,Folium Publishing Company
24864463,Ter Arkh,,0040-3660,Consilium Medicum
11115406,Biochem J,,0264-6021,Portland Press Ltd.
15695395,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
21186515,Zhonghua Shi Yan He Lin Chuang Bing Du Xue Za Zhi,,1003-9279,
30030956,Cell Mol Biol (Noisy-le-grand),,1165-158X,CMB Association
12390791,Di Yi Jun Yi Da Xue Xue Bao,,1000-2588,
15840293,Zhonghua Fu Chan Ke Za Zhi,,0529-567X,
23477215,Antibiot Khimioter,,0235-2990,Publishing House OKI
11226054,Reproduction,,1470-1626,Bioscientifica
20109156,In Silico Biol,,1434-3207,IOS Press
27188485,Zhonghua Shao Shang Za Zhi,10.3760/cma.j.issn.1009-2587.2016.05.004,1009-2587,
12230943,Acta Pharmacol Sin,,1671-4083,Springer Science and Business Media LLC
20351933,AMIA Annu Symp Proc,,1942-597X,
18706200,Chin Med J (Engl),,0366-6999,Ovid Technologies (Wolters Kluwer Health)
12019438,Sheng Wu Hua Xue Yu Sheng Wu Wu Li Xue Bao (Shanghai),,0582-9879,
16931339,Chem Biol,10.1016/j.chembiol.2006.06.015,1074-5521,Elsevier BV
19351501,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
18825633,Urol J,,1735-546X,
21528537,Bing Du Xue Bao,,1000-8721,
10706131,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
21548386,Zhonghua Zheng Xing Wai Ke Za Zhi,,1009-4598,
16264199,J Invasive Cardiol,,1557-2501,"HMP Communications, LLC"
18633470,J Contemp Dent Pract,,1526-3711,Jaypee Brothers Medical Publishing
11804856,Am J Physiol Gastrointest Liver Physiol,10.1152/ajpgi.00376.2001,0193-1857,American Physiological Society
17068623,Beijing Da Xue Xue Bao Yi Xue Ban,,1671-167X,
10901161,Mol Cells,,1016-8478,Elsevier BV
15554188,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
11747758,Acta Pharmacol Sin,,1671-4083,Springer Science and Business Media LLC
32572906,Eur Rev Med Pharmacol Sci,10.26355/eurrev_202006_21486,2284-0729,
34155994,Wiad Lek,,0043-5147,ALUNA
15946527,Zhonghua Xue Ye Xue Za Zhi,,0253-2727,
26459399,Iran Biomed J,10.7508/ibj.2016.01.002,2008-823X,CMV Verlag
14654975,Int J Mol Med,,1107-3756,Spandidos Publications
15010833,Int J Oncol,,1019-6439,Spandidos Publications
24559379,BMC Genomics,10.1186/1471-2164-15-147,1471-2164,Springer Science and Business Media LLC
20734717,Zh Mikrobiol Epidemiol Immunobiol,,0372-9311,Central Research Institute for Epidemiology
11042808,Genetika,,0016-6758,The Russian Academy of Sciences
16255882,Zhonghua Nei Ke Za Zhi,,0578-1426,
25973311,Am J Cancer Res,,2156-6976,e-Century Publishing Corporation
21633729,Acta Biochim Pol,,1734-154X,Frontiers Media SA
21309180,Rev Med Suisse,,1660-9379,Médecine et Hygiène
35753725,Zhong Nan Da Xue Xue Bao Yi Xue Ban,10.11817/j.issn.1672-7347.2022.210319,1672-7347,
32513940,Nat Commun,10.1038/s41467-020-16376-5,2041-1723,Springer Science and Business Media LLC
11985338,Pol J Pharmacol,,1230-6002,
28018136,Yale J Biol Med,,1551-4056,Yale Journal of Biology and Medicine
11519427,Lik Sprava,,1019-5297,LLC Information and Research Center Likarska Sprava
25674239,Int J Clin Exp Pathol,,1936-2625,e-Century Publishing Corporation
17701915,Histol Histopathol,10.14670/HH-22.1355,1699-5848,
11001906,Blood,,0006-4971,American Society of Hematology
38076663,Psychopharmacol Bull,,2472-2448,
34858337,Front Endocrinol (Lausanne),10.3389/fendo.2021.765359,1664-2392,Frontiers Media SA
11104703,Biochem J,,0264-6021,Portland Press Ltd.
10769688,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
11521737,Physiol Res,,0862-8408,Institute of Physiology of the Czech Academy of Sciences
10997303,Fiziol Zh (1994),,2522-9028,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
27312021,G Ital Cardiol (Rome),10.1714/2254.24282,1827-6806,
11081227,Ross Fiziol Zh Im I M Sechenova,,0869-8139,The Russian Academy of Sciences
36964960,Chembiochem,10.1002/cbic.202300072,1439-7633,Wiley
11788900,Int J Oncol,,1019-6439,Spandidos Publications
12597026,Indian J Exp Biol,,0019-5189,CSIR-National Institute of Science Communication and Policy Research (NIScPR)
21189249,J Biol Chem,10.1074/jbc.M110.201236,1083-351X,Elsevier BV
26582220,Zhongguo Fei Ai Za Zhi,10.3779/j.issn.1009-3419.2015.11.01,1999-6187,
19663011,Lik Sprava,,1019-5297,LLC Information and Research Center Likarska Sprava
15375435,Cryo Letters,,0143-2044,CryoLetters Limited Liability Partnership
21954610,Genetika,,0016-6758,The Russian Academy of Sciences
22667112,Sheng Wu Gong Cheng Xue Bao,,1000-3061,
23591335,Beijing Da Xue Xue Bao Yi Xue Ban,,1671-167X,
14500385,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
21410066,Hepatogastroenterology,,0172-6390,Update Medical Publishing
19806798,J Extra Corpor Technol,,0022-1058,EDP Sciences
21078585,Eur Cytokine Netw,10.1684/ecn.2010.0207,1952-4005,John Libbey Eurotext
11104681,Biochem J,,0264-6021,Portland Press Ltd.
31903891,Folia Biol (Praha),,0015-5500,"Charles University in Prague, Karolinum Press"
22900342,Indian J Biochem Biophys,,0301-1208,CSIR-National Institute of Science Communication and Policy Research (NIScPR)
28251954,Biomed Khim,10.18097/PBMC2017630175,2310-6972,Institute of Biochemistry
22394629,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
11555583,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
12237483,Clin Hemorheol Microcirc,,1386-0291,IOS Press
11697232,Recept Channels,,1060-6823,Informa UK Limited
15498318,Zhonghua Wai Ke Za Zhi,,0529-5815,
18076791,Ai Zheng,,,
34248051,Georgian Med News,,1512-0112,
35968328,Am J Cancer Res,,2156-6976,e-Century Publishing Corporation
14981905,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
17688427,In Silico Biol,,1386-6338,IOS Press
29631686,Cell Mol Biol (Noisy-le-grand),,1165-158X,CMB Association
12578614,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
15730617,Zhonghua Yi Xue Za Zhi,,0376-2491,
11169474,J Comp Neurol,,0021-9967,Wiley
28948953,Indian J Med Res,10.4103/ijmr.IJMR_718_14,0971-5916,Scientific Scholar
18646518,Wei Sheng Yan Jiu,,1000-8020,
22712297,Arkh Patol,,0004-1955,Media Sphere Publishing Group
11094720,Biofizika,,0006-3029,Pleiades Publishing Ltd
29643533,Beijing Da Xue Xue Bao Yi Xue Ban,,1671-167X,
23390375,Cancer Immun,,1424-9634,
24031727,Braz J Microbiol,10.1590/S1517-838220110003000030,1517-8382,FapUNIFESP (SciELO)
12930679,Zhonghua Yi Xue Za Zhi,,0376-2491,
16715965,Rinsho Ketsueki,,0485-1439,
18019736,Hepatogastroenterology,,0172-6390,Update Medical Publishing
15232223,Mol Cells,,1016-8478,Elsevier BV
10620500,Biochem J,,0264-6021,Portland Press Ltd.
10713554,Biochemistry (Mosc),,0006-2979,Springer Science and Business Media LLC
19379552,Zhongguo Shi Yan Xue Ye Xue Za Zhi,,1009-2137,
20448330,Cell Oncol,10.3233/CLO-2010-0524,1875-8606,Springer Science and Business Media LLC
24584960,Acta Sci Pol Technol Aliment,,1898-9594,Uniwersytet Przyrodniczy w Poznaniu (Poznan University of Life Sciences)
23401971,Zh Evol Biokhim Fiziol,,0044-4529,Akademizdatcenter Nauka
17131818,Biofizika,,0006-3029,Pleiades Publishing Ltd
15155195,Antimicrob Agents Chemother,10.1128/AAC.48.6.2025-2036.2004,0066-4804,American Society for Microbiology
17357522,Lin Chuang Er Bi Yan Hou Ke Za Zhi,,,
34306343,Am J Transl Res,,1943-8141,e-Century Publishing Corporation
10959197,Rocz Panstw Zakl Hig,,0035-7715,National Institute of Public Health NIH (National Research Institute)
21685690,Zhong Nan Da Xue Xue Bao Yi Xue Ban,10.3969/j.issn.1672-7347.2011.05.001,1672-7347,
11706166,Plant Physiol,,0032-0889,Oxford University Press (OUP)
10879996,J Investig Allergol Clin Immunol,,1018-9068,"Esmon Publicidad, SA"
10648026,J Rheumatol,,0315-162X,The Journal of Rheumatology
15107619,Cell Cycle,,1538-4101,Informa UK Limited
32443670,Biomolecules,10.3390/biom10050789,2218-273X,MDPI AG
16567873,Indian J Med Res,,0971-5916,Scientific Scholar
32096262,Chemistry,10.1002/chem.202000245,1521-3765,Wiley
12384053,J Theor Biol,,0022-5193,Elsevier BV
15553846,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi,,1001-5515,
16391844,Oncol Rep,,1021-335X,Spandidos Publications
31160715,Sci Rep,10.1038/s41598-019-44464-0,2045-2322,Springer Science and Business Media LLC
15375761,Histol Histopathol,10.14670/HH-19.1187,0213-3911,
17691278,Rev Port Cardiol,,0870-2551,Elsevier BV
17460893,Sheng Wu Gong Cheng Xue Bao,,1000-3061,
11563335,Indian J Biochem Biophys,,0301-1208,CSIR-National Institute of Science Communication and Policy Research (NIScPR)
35008849,Int J Mol Sci,10.3390/ijms23010423,1422-0067,MDPI AG
16077981,Oncol Rep,,1021-335X,Spandidos Publications
30626470,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
10910956,Carcinogenesis,,0143-3334,Oxford University Press (OUP)
30541953,J Biosci,,0973-7138,Springer Science and Business Media LLC
11170207,Proteins,,0887-3585,Wiley
10691741,Genes Dev,,0890-9369,Cold Spring Harbor Laboratory
16261208,Zhonghua Shi Yan He Lin Chuang Bing Du Xue Za Zhi,,1003-9279,
25296013,Comp Med,,2769-819X,
15373217,Hokkaido Igaku Zasshi,,0367-6102,
14615674,Rev Neurol (Paris),,0035-3787,Elsevier BV
18471863,Chemosphere,10.1016/j.chemosphere.2008.03.043,0045-6535,Elsevier BV
11357949,Ann Neurol,,0364-5134,Wiley
12497724,Presse Med,,0755-4982,Elsevier BV
16183024,Chem Biol,10.1016/j.chembiol.2005.07.006,1074-5521,Elsevier BV
11783089,Zhonghua Zhong Liu Za Zhi,,0253-3766,
19548533,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
26062415,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
14761602,Zhonghua Bing Li Xue Za Zhi,,0529-5807,
15130378,Zhonghua Fu Chan Ke Za Zhi,,0529-567X,
11867573,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
11421359,RNA,10.1017/s1355838201010317,1355-8382,Cold Spring Harbor Laboratory
22932426,J Genet,,0973-7731,Springer Science and Business Media LLC
11792734,J Lipid Res,,0022-2275,Elsevier BV
30265489,Klin Khir,,0023-2130,"Liga-Inform, Ltd."
12748175,J Biol Chem,10.1074/jbc.M303317200,0021-9258,Elsevier BV
34645146,Zhonghua Shao Shang Za Zhi,10.3760/cma.j.cn501120-20210412-00125,1009-2587,
19610537,J Ayub Med Coll Abbottabad,,1025-9589,"Ayub Medical College, Abbottabad Pakistan"
36945688,ArXiv,,2331-8422,
12149426,J Leukoc Biol,,0741-5400,Oxford University Press (OUP)
21842651,Zhongguo Zhong Yao Za Zhi,,1001-5302,China Journal of Chinese Materia Medica
18634161,J Rheumatol,,0315-162X,The Journal of Rheumatology
27228653,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
11562430,Mol Pharmacol,,0026-895X,American Society for Pharmacology & Experimental Therapeutics (ASPET)
24495761,Zhonghua Er Ke Za Zhi,,0578-1310,
30226234,Phys Chem Chem Phys,10.1039/c8cp03915a,1463-9084,Royal Society of Chemistry (RSC)
19942747,Indian J Med Res,,0971-5916,Scientific Scholar
21215094,Zhonghua Bing Li Xue Za Zhi,,0529-5807,
22424633,Biomed Environ Sci,10.3967/0895-3988.2012.01.014,0895-3988,Elsevier BV
20021965,Zhonghua Bing Li Xue Za Zhi,,0529-5807,
11220500,J Physiol Pharmacol,,0867-5910,
16619495,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
20819594,Chin Med J (Engl),,2542-5641,Ovid Technologies (Wolters Kluwer Health)
25745767,Acta Pol Pharm,,0001-6837,Polish Pharmaceutical Society
14985456,Mol Cancer Ther,,1535-7163,American Association for Cancer Research (AACR)
16936330,Rheumatology (Oxford),10.1093/rheumatology/kel305,1462-0324,Oxford University Press (OUP)
25339750,J Neurosci,10.1523/JNEUROSCI.1222-14.2014,1529-2401,Society for Neuroscience
22447179,Breast Cancer Res Treat,10.1007/s10549-012-2014-8,1573-7217,Springer Science and Business Media LLC
20503177,Histol Histopathol,10.14670/HH-25.889,1699-5848,
32459558,Mol Biol Cell,10.1091/mbc.E19-07-0406,1939-4586,American Society for Cell Biology (ASCB)
17380899,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
16964378,Int J Oncol,,1019-6439,Spandidos Publications
18075123,Arch Ital Biol,,0003-9829,Pisa University Press
16596172,Oncol Rep,,1021-335X,Spandidos Publications
26349244,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
34637168,Chembiochem,10.1002/cbic.202100361,1439-7633,Wiley
11714063,Mycoses,,0933-7407,Wiley
26015772,Mol Vis,,1090-0535,
25868278,Bing Du Xue Bao,,1000-8721,
22016091,Obesity (Silver Spring),10.1038/oby.2011.328,1930-739X,Wiley
10772641,Drug Metab Dispos,,0090-9556,American Society for Pharmacology & Experimental Therapeutics (ASPET)
22263267,Bing Du Xue Bao,,1000-8721,
12193473,Cell Growth Differ,,1044-9523,
14528907,Cell Mol Biol (Noisy-le-grand),,0145-5680,CMB Association
11642031,Ukr Biokhim Zh (1999),,,
35831508,Nature,10.1038/s41586-022-04930-8,1476-4687,Springer Science and Business Media LLC
30033401,Pak J Pharm Sci,,1011-601X,"Faculty of Pharmacy and Pharmaceutical Sciences, University of Karachi"
11474126,Mol Med,,1076-1551,Springer Science and Business Media LLC
12883667,Oncol Rep,,1021-335X,Spandidos Publications
11302003,Nutr Metab Cardiovasc Dis,,0939-4753,Elsevier BV
15107614,Cell Cycle,,1538-4101,Informa UK Limited
26190105,Cell Rep,10.1016/j.celrep.2015.06.053,2211-1247,Elsevier BV
22574505,Acta Pol Pharm,,0001-6837,Polish Pharmaceutical Society
24923038,Rev Prat,,0035-2640,
16297314,Zhongguo Wei Zhong Bing Ji Jiu Yi Xue,,1003-0603,
11956018,Eur Cytokine Netw,,1148-5493,John Libbey Eurotext
19334593,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
19368127,In Vivo,,0258-851X,Anticancer Research USA Inc.
11392115,Fiziol Zh (1994),,2522-9028,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka)
10938798,J Exp Bot,,0022-0957,Oxford University Press (OUP)
33434265,Nucleic Acids Res,10.1093/nar/gkaa1266,1362-4962,Oxford University Press (OUP)
11129648,J Leukoc Biol,,0741-5400,Oxford University Press (OUP)
20672443,J Immunotoxicol,,1547-6901,Informa UK Limited
19396030,Med Sci Monit,,1643-3750,"International Scientific Information, Inc."
12942645,Mol Biol (Mosk),,0026-8984,Akademizdatcenter Nauka
32146764,Zhonghua Yi Xue Za Zhi,10.3760/cma.j.issn.0376-2491.2020.06.006,0376-2491,
12194797,Zhonghua Yi Xue Za Zhi,,0376-2491,
19035320,Bing Du Xue Bao,,1000-8721,
10815882,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
31359677,Zhongguo Zhong Yao Za Zhi,10.19540/j.cnki.cjcmm.20190603.202,1001-5302,China Journal of Chinese Materia Medica
11798599,Zhonghua Nei Ke Za Zhi,,0578-1426,
16969516,Oncol Rep,,1021-335X,Spandidos Publications
25031724,Int J Clin Exp Pathol,,1936-2625,e-Century Publishing Corporation
17022371,Physiol Chem Phys Med NMR,,0748-6642,
11507066,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
16240751,Izv Akad Nauk Ser Biol,,1026-3470,The Russian Academy of Sciences
19569502,Biofizika,,0006-3029,Pleiades Publishing Ltd
15747838,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
10864802,J Reprod Fertil,,0022-4251,Bioscientifica
16921416,J Burns Wounds,,1554-0766,
18062879,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
15759507,Biofizika,,0006-3029,Pleiades Publishing Ltd
21103453,Acta Biochim Pol,,1734-154X,Frontiers Media SA
17484809,Cell Mol Immunol,,1672-7681,Springer Science and Business Media LLC
26489343,Huan Jing Ke Xue,,0250-3301,
27228705,Vopr Pitan,,0042-8833,Geotar-Media Publishing Group
11726627,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
11682463,Cell Growth Differ,,1044-9523,
32185926,Zhongguo Xue Xi Chong Bing Fang Zhi Za Zhi,10.16250/j.32.1374.2019147,1005-6661,
35359059,Zhonghua Bing Li Xue Za Zhi,10.3760/cma.j.cn112151-20210831-00634,0529-5807,
15196336,Zhonghua Jie He He Hu Xi Za Zhi,,1001-0939,
15180275,Adv Exp Med Biol,,0065-2598,Springer US
17611319,Zhong Nan Da Xue Xue Bao Yi Xue Ban,,1672-7347,
14532964,Int J Oncol,,1019-6439,Spandidos Publications
24344040,J BUON,,1107-0625,
24348211,Yale J Biol Med,,1551-4056,Yale Journal of Biology and Medicine
30207306,J Biosci,,0973-7138,Springer Science and Business Media LLC
24830199,Zhongguo Ji Sheng Chong Xue Yu Ji Sheng Chong Bing Za Zhi,,1000-7423,
22110187,Anticancer Res,,1791-7530,Anticancer Research USA Inc.
19950693,Zhonghua Zhong Liu Za Zhi,,0253-3766,
18041224,Vopr Virusol,,0507-4088,Central Research Institute for Epidemiology
34538009,Plant J,10.1111/tpj.15496,1365-313X,Wiley
22990106,Cancer Genomics Proteomics,,1790-6245,Anticancer Research USA Inc.
15193243,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738,
12624624,Thromb Haemost,,0340-6245,Georg Thieme Verlag KG
28066036,Trans Am Clin Climatol Assoc,,0065-7778,
12764252,Mol Vis,,1090-0535,
26317183,Acta Chir Orthop Traumatol Cech,,0001-5415,"Galen, spol. s r.o."
15631156,Polim Med,,0370-0747,Wroclaw Medical University
10739481,Biochemistry (Mosc),,0006-2979,Pleiades Publishing Ltd
27335683,Int J Biochem Mol Biol,,2152-4114,e-Century Publishing Corporation
21256150,Dev Comp Immunol,10.1016/j.dci.2011.01.010,1879-0089,
28230826,Exp Oncol,,2312-8852,National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications)
10749923,Mol Biol Cell,10.1091/mbc.11.4.1183,1059-1524,American Society for Cell Biology (ASCB)
15319168,Eur Cytokine Netw,,1148-5493,John Libbey Eurotext
16869282,Ross Fiziol Zh Im I M Sechenova,,0869-8139,The Russian Academy of Sciences
31479752,Vascul Pharmacol,10.1016/j.vph.2019.106597,1879-3649,
20602287,Folia Neuropathol,,1509-572X,
16477136,Zhi Wu Sheng Li Yu Fen Zi Sheng Wu Xue Xue Bao,,1671-3877,
25720140,Genetika,,0016-6758,The Russian Academy of Sciences
15048159,Cell Mol Biol Lett,,1425-8153,Springer Science and Business Media LLC
17886717,Bing Du Xue Bao,,1000-8721,
12469227,Int J Mol Med,,1107-3756,Spandidos Publications
18288360,Sheng Li Xue Bao,,0371-0874,
11289145,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
15277996,Med Sci Monit,,1234-1010,"International Scientific Information, Inc."
11160648,J Pharmacol Exp Ther,,0022-3565,American Society for Pharmacology & Experimental Therapeutics (ASPET)
25509418,Tsitologiia,,0041-3771,Pleiades Publishing Ltd
28564534,Clin Transpl,,0890-9016,
19849945,Zhongguo Dang Dai Er Ke Za Zhi,,1008-8830,
12839924,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
29286505,Probl Radiac Med Radiobiol,,2304-8336,National Research Center for Radiation Medicine of the NAMS of Ukraine
18636154,Int J Oncol,,1019-6439,Spandidos Publications
26811933,Clin Exp Rheumatol,,0392-856X,Clinical and Experimental Rheumatology
17440229,J Physiol Pharmacol,,0867-5910,
12655352,Cell Mol Biol Lett,,1425-8153,Springer Science and Business Media LLC
29457131,Med Res Arch,10.18103/mra.v5i9.1526,2375-1916,Knowledge Enterprise Journals
15665285,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
19562965,Pol Arch Med Wewn,,,
25862865,Anticancer Res,,1791-7530,Anticancer Research USA Inc.
29461224,Georgian Med News,,1512-0112,
12912935,Clin Cancer Res,,1078-0432,American Association for Cancer Research (AACR)
16101018,Ital J Anat Embryol,,1122-6714,Firenze University Press
24027667,Cell J,,2228-5806,
16874656,Histol Histopathol,10.14670/HH-21.1143,1699-5848,
29372961,Genetika,,0016-6758,Akademizdatcenter Nauka
15636134,Zh Mikrobiol Epidemiol Immunobiol,,0372-9311,Central Research Institute for Epidemiology
27861481,Gac Med Mex,,0016-3813,"Publicidad Permanyer, SLU"
11702666,Zhonghua Yi Xue Za Zhi,,0376-2491,
17951821,Comput Syst Bioinformatics Conf,,1752-7791,
25844451,Mikrobiologiia,,0026-3656,Akademizdatcenter Nauka
19705792,Klin Med (Mosk),,0023-2149,Medical Informational Agency Publishers
22761186,Iran J Allergy Asthma Immunol,,1735-1502,Knowledge E
29509392,Prikl Biokhim Mikrobiol,,0555-1099,Pleiades Publishing Ltd
10769173,Biochem J,,0264-6021,Portland Press Ltd.
19119612,Sheng Li Ke Xue Jin Zhan,,0559-7765,
14708435,Ter Arkh,,0040-3660,LLC Obyedinennaya Redaktsiya
21877552,Undersea Hyperb Med,,1066-2936,Undersea and Hyperbaric Medical Society (UHMS)
15055488,Indian J Med Res,,0971-5916,Scientific Scholar
25842401,Eksp Klin Gastroenterol,,1682-8658,LLC Global Media Technology
14726678,Cell Cycle,,1538-4101,Informa UK Limited
18402291,Asian Pac J Allergy Immunol,,0125-877X,"Allergy, Asthma, and Immunology Association of Thailand"
26845853,Genetika,,0016-6758,The Russian Academy of Sciences
17273753,Oncol Rep,,1021-335X,Spandidos Publications
11497105,Membr Cell Biol,,1023-6597,
17672939,Ai Zheng,,,
11396193,Anticancer Res,,0250-7005,Anticancer Research USA Inc.
11732620,Acta Biochim Pol,,0001-527X,Frontiers Media SA
12395931,Biotechniques,,0736-6205,Informa UK Limited
18540434,Arkh Patol,,0004-1955,Media Sphere Publishing Group
10945626,Cancer Res,,0008-5472,American Association for Cancer Research (AACR)
18095520,J Heart Valve Dis,,0966-8519,International Academic and Research Consortium
15375530,Int J Oncol,,1019-6439,Spandidos Publications
23510838,Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi,,1001-9391,
11451350,J Androl,,0196-3635,Wiley
14509360,Pol J Vet Sci,,1505-1773,Polish Academy of Sciences Chancellery
10835883,Nippon Ganka Gakkai Zasshi,,0029-0203,
22117442,Biofizika,,0006-3029,Pleiades Publishing Ltd
36426731,Histol Histopathol,10.14670/HH-18-553,1699-5848,
19069790,Vopr Virusol,,0507-4088,Central Research Institute for Epidemiology
21500556,Sichuan Da Xue Xue Bao Yi Xue Ban,,1672-173X,
12437234,Indian J Chest Dis Allied Sci,,0377-9343,Jaypee Brothers Medical Publishing
30601623,Klin Lab Diagn,,0869-2084,EKOlab
19634757,Bing Du Xue Bao,,1000-8721,
15854490,Zhonghua Yi Xue Za Zhi,,0376-2491,
16342666,Biomed Khim,,2310-6972,Institute of Biochemistry
15034288,Korean J Gastroenterol,,1598-9992,The Korean Society of Gastroenterology
20193257,Chin Med J (Engl),,2542-5641,Ovid Technologies (Wolters Kluwer Health)
32269740,Am J Transl Res,,1943-8141,e-Century Publishing Corporation
11867591,Invest Ophthalmol Vis Sci,,0146-0404,Association for Research in Vision and Ophthalmology (ARVO)
33013272,EXCLI J,10.17179/excli2020-2363,1611-2156,
20717637,Sheng Li Xue Bao,,0371-0874,
37665724,J Assoc Genet Technol,,1523-7834,
17639987,Zhongguo Zhong Yao Za Zhi,,1001-5302,China Journal of Chinese Materia Medica
11788774,Plant Physiol,,0032-0889,Oxford University Press (OUP)
37802875,Zhongguo Zhong Yao Za Zhi,10.19540/j.cnki.cjcmm.20230510.706,1001-5302,China Journal of Chinese Materia Medica
