publisher,journal,total_pmids
Elsevier BV,Comp Biochem Physiol C Toxicol Pharmacol,15
Elsevier BV,Comp Biochem Physiol Part D Genomics Proteomics,10
Elsevier BV,Comp Immunol Microbiol Infect Dis,6
Elsevier BV,Comput Biol Chem,38
Elsevier BV,Comput Biol Med,27
Elsevier BV,Comput Chem,1
Elsevier BV,Comput Methods Programs Biomed,2
Elsevier BV,Comput Struct Biotechnol J,6
Elsevier BV,Contraception,1
Elsevier BV,Cortex,1
Elsevier BV,Crit Care Nurs Clin North Am,1
Elsevier BV,Cryobiology,6
Elsevier BV,Curr Biol,290
Elsevier BV,Curr Opin Biotechnol,1
Elsevier BV,Curr Opin Cell Biol,2
Elsevier BV,Curr Opin Endocr Metab Res,1
Elsevier BV,Curr Opin Microbiol,1
Elsevier BV,Curr Opin Plant Biol,1
Elsevier BV,Curr Opin Struct Biol,1
Elsevier BV,Curr Opin Syst Biol,1
Elsevier BV,Curr Res Microb Sci,1
Elsevier BV,Curr Res Pharmacol Drug Discov,1
Elsevier BV,Curr Res Toxicol,1
Elsevier BV,Curr Res Transl Med,1
Elsevier BV,Cytokine,55
Elsevier BV,Cytokine Growth Factor Rev,1
Elsevier BV,Cytotherapy,13
Elsevier BV,DNA Repair (Amst),64
Elsevier BV,Data Brief,13
Elsevier BV,Dev Biol,166
Elsevier BV,Dev Cell,173
Elsevier BV,Dev Comp Immunol,55
Elsevier BV,Diabetes Metab,4
Elsevier BV,Diabetes Res Clin Pract,5
Elsevier BV,Diagn Microbiol Infect Dis,17
Elsevier BV,Differentiation,13
Elsevier BV,Dig Liver Dis,4
Elsevier BV,Domest Anim Endocrinol,3
Elsevier BV,Drug Alcohol Depend,1
Elsevier BV,Drug Discov Today,1
Elsevier BV,Drug Metab Pharmacokinet,2
Elsevier BV,Drug Resist Updat,1
Elsevier BV,EBioMedicine,36
Elsevier BV,Ecotoxicol Environ Saf,40
Elsevier BV,Enferm Infecc Microbiol Clin,2
Elsevier BV,Environ Int,4
Elsevier BV,Environ Pollut,19
Elsevier BV,Environ Res,9
Elsevier BV,Environ Toxicol Pharmacol,18
Elsevier BV,Enzyme Microb Technol,17
Elsevier BV,Epilepsy Behav,1
Elsevier BV,Epilepsy Res,8
Elsevier BV,Eur J Cancer,16
Elsevier BV,Eur J Cell Biol,48
Elsevier BV,Eur J Integr Med,1
Elsevier BV,Eur J Intern Med,1
Elsevier BV,Eur J Med Chem,103
Elsevier BV,Eur J Med Genet,3
Elsevier BV,Eur J Paediatr Neurol,1
Elsevier BV,Eur J Pharm Biopharm,21
Elsevier BV,Eur J Pharm Sci,23
Elsevier BV,Eur J Pharmacol,98
Elsevier BV,Eur J Protistol,4
Elsevier BV,Eur J Surg Oncol,2
Elsevier BV,Eur J Vasc Endovasc Surg,1
Elsevier BV,Eur Neuropsychopharmacol,8
Elsevier BV,Eur Urol,3
Elsevier BV,Exp Cell Res,194
Elsevier BV,Exp Eye Res,50
Elsevier BV,Exp Gerontol,17
Elsevier BV,Exp Hematol,31
Elsevier BV,Exp Mol Pathol,31
Elsevier BV,Exp Neurol,67
Elsevier BV,Exp Parasitol,26
Elsevier BV,Exp Toxicol Pathol,6
Elsevier BV,Farmaco,3
Elsevier BV,Fertil Steril,10
Elsevier BV,Fish Shellfish Immunol,66
Elsevier BV,Fitoterapia,6
Elsevier BV,Food Chem,100
Elsevier BV,Food Chem Toxicol,36
Elsevier BV,Food Chem X,4
Elsevier BV,Food Microbiol,9
Elsevier BV,Food Res Int,23
Elsevier BV,Forensic Sci Int,1
Elsevier BV,Free Radic Biol Med,181
Elsevier BV,Fungal Biol,17
Elsevier BV,Fungal Genet Biol,33
Elsevier BV,Gastroenterology,60
Elsevier BV,Gen Comp Endocrinol,32
Elsevier BV,Gene,170
Elsevier BV,Gene Expr Patterns,20
Elsevier BV,Gene Rep,1
Elsevier BV,Genes Dis,1
Elsevier BV,Genet Med,5
Elsevier BV,Genom Data,1
Elsevier BV,Genomics,44
Elsevier BV,Growth Horm IGF Res,9
Elsevier BV,Gynecol Oncol,12
Elsevier BV,HGG Adv,3
Elsevier BV,Harmful Algae,3
Elsevier BV,Hear Res,12
Elsevier BV,Heart Rhythm,2
Elsevier BV,Heliyon,16
Elsevier BV,Hepatobiliary Pancreat Dis Int,4
Elsevier BV,Horm Behav,5
Elsevier BV,Hum Immunol,32
Elsevier BV,Hum Mov Sci,2
Elsevier BV,Hum Pathol,27
Elsevier BV,IBRO Neurosci Rep,1
Elsevier BV,Immunity,70
Elsevier BV,Immunobiology,32
Elsevier BV,Immunol Lett,49
Elsevier BV,Immunopharmacology,1
Elsevier BV,Indian J Med Microbiol,3
Elsevier BV,Indian J Tuberc,1
Elsevier BV,Infect Genet Evol,25
Elsevier BV,Injury,2
Elsevier BV,Insect Biochem Mol Biol,58
Elsevier BV,Int Dent J,1
Elsevier BV,Int Immunopharmacol,95
Elsevier BV,Int J Antimicrob Agents,5
Elsevier BV,Int J Biochem Cell Biol,101
Elsevier BV,Int J Biol Macromol,230
Elsevier BV,Int J Cardiol,14
Elsevier BV,Int J Food Microbiol,16
Elsevier BV,Int J Infect Dis,1
Elsevier BV,Int J Mass Spectrom,1
Elsevier BV,Int J Med Microbiol,18
Elsevier BV,Int J Oral Maxillofac Surg,2
Elsevier BV,Int J Parasitol,25
Elsevier BV,Int J Parasitol Drugs Drug Resist,3
Elsevier BV,Int J Pharm,51
Elsevier BV,Int J Radiat Oncol Biol Phys,11
Elsevier BV,J Adv Res,8
Elsevier BV,J Affect Disord,3
Elsevier BV,J Allergy Clin Immunol,31
Elsevier BV,J Allergy Clin Immunol Pract,1
Elsevier BV,J Am Acad Dermatol,4
Elsevier BV,J Am Coll Cardiol,11
Elsevier BV,J Am Soc Cytopathol,2
Elsevier BV,J Autoimmun,26
Elsevier BV,J Ayurveda Integr Med,2
Elsevier BV,J Biochem Biophys Methods,11
Elsevier BV,J Biol Chem,4671
Elsevier BV,J Biomech,5
Elsevier BV,J Biomed Inform,3
Elsevier BV,J Biomed Res,1
Elsevier BV,J Biomol Screen,23
Elsevier BV,J Biosci Bioeng,21
Elsevier BV,J Biotechnol,58
Elsevier BV,J Bone Oncol,2
Elsevier BV,J Card Fail,3
Elsevier BV,J Cardiothorac Vasc Anesth,2
Elsevier BV,J Chem Neuroanat,15
Elsevier BV,J Chromatogr A,92
Elsevier BV,J Chromatogr B Analyt Technol Biomed Life Sci,41
Elsevier BV,J Chromatogr B Biomed Sci Appl,5
Elsevier BV,J Clin Densitom,1
Elsevier BV,J Clin Lipidol,2
Elsevier BV,J Clin Neurosci,8
Elsevier BV,J Clin Tuberc Other Mycobact Dis,1
Elsevier BV,J Clin Virol,10
Elsevier BV,J Colloid Interface Sci,22
Elsevier BV,J Commun Disord,1
Elsevier BV,J Comp Pathol,9
Elsevier BV,J Control Release,72
Elsevier BV,J Crit Care,1
Elsevier BV,J Cyst Fibros,4
Elsevier BV,J Dent,1
Elsevier BV,J Dermatol Sci,17
Elsevier BV,J Diabetes Complications,3
Elsevier BV,J Drug Deliv Sci Technol,1
Elsevier BV,J Electrocardiol,1
Elsevier BV,J Endod,6
Elsevier BV,J Environ Manage,2
Elsevier BV,J Environ Radioact,1
Elsevier BV,J Environ Sci (China),5
Elsevier BV,J Equine Vet Sci,1
Elsevier BV,J Ethnopharmacol,57
Elsevier BV,J Food Prot,6
Elsevier BV,J Formos Med Assoc,1
Elsevier BV,J Gastrointest Surg,4
Elsevier BV,J Genet Genomics,9
Elsevier BV,J Ginseng Res,3
Elsevier BV,J Glob Antimicrob Resist,7
Elsevier BV,J Gynecol Obstet Hum Reprod,1
Elsevier BV,J Hazard Mater,29
Elsevier BV,J Heart Lung Transplant,11
Elsevier BV,J Hepatol,30
Elsevier BV,J Hosp Infect,3
Elsevier BV,J Hum Evol,2
Elsevier BV,J Immunol Methods,76
Elsevier BV,J Infect,9
Elsevier BV,J Infect Chemother,6
Elsevier BV,J Infect Public Health,2
Elsevier BV,J Inorg Biochem,154
Elsevier BV,J Insect Physiol,14
Elsevier BV,J Invertebr Pathol,6
Elsevier BV,J Invest Dermatol,76
Elsevier BV,J Investig Dermatol Symp Proc,1
Elsevier BV,J King Saud Univ Sci,1
Elsevier BV,J Lab Clin Med,2
Elsevier BV,J Lipid Res,56
Elsevier BV,J Magn Reson,5
Elsevier BV,J Mech Behav Biomed Mater,6
Elsevier BV,J Microbiol Immunol Infect,1
Elsevier BV,J Microbiol Methods,26
Elsevier BV,J Mol Biol,947
Elsevier BV,J Mol Cell Cardiol,70
Elsevier BV,J Mol Diagn,2
Elsevier BV,J Mol Graph Model,61
Elsevier BV,J Mol Struct,1
Elsevier BV,J Neuroimmunol,40
Elsevier BV,J Neurol Sci,14
Elsevier BV,J Neurosci Methods,17
Elsevier BV,J Nutr,31
Elsevier BV,J Nutr Biochem,30
Elsevier BV,J Oral Maxillofac Surg,4
Elsevier BV,J Orthop Sci,2
Elsevier BV,J Orthop Translat,2
Elsevier BV,J Pain,6
Elsevier BV,J Pediatr,3
Elsevier BV,J Pediatr Surg,2
Elsevier BV,J Pharm Anal,3
Elsevier BV,J Pharm Biomed Anal,26
Elsevier BV,J Pharm Sci,23
Elsevier BV,J Pharmacol Sci,6
Elsevier BV,J Pharmacol Toxicol Methods,4
Elsevier BV,J Photochem Photobiol B,72
Elsevier BV,J Physiol Paris,1
Elsevier BV,J Plant Physiol,44
Elsevier BV,J Proteomics,121
Elsevier BV,J Psychiatr Res,7
Elsevier BV,J Psychosom Res,3
Elsevier BV,J Reprod Immunol,8
Elsevier BV,J Shoulder Elbow Surg,1
Elsevier BV,J Steroid Biochem Mol Biol,38
Elsevier BV,J Stroke Cerebrovasc Dis,1
Elsevier BV,J Struct Biol,135
Elsevier BV,J Surg Res,34
Elsevier BV,J Theor Biol,51
Elsevier BV,J Therm Biol,2
Elsevier BV,J Thorac Cardiovasc Surg,6
Elsevier BV,J Thorac Oncol,5
Elsevier BV,J Thromb Haemost,92
Elsevier BV,J Tissue Viability,1
Elsevier BV,J Trace Elem Med Biol,7
Elsevier BV,J Vasc Interv Radiol,4
Elsevier BV,J Vasc Surg,4
Elsevier BV,J Virol Methods,33
Elsevier BV,JACC Cardiovasc Interv,1
Elsevier BV,JID Innov,1
Elsevier BV,Jpn J Pharmacol,1
Elsevier BV,Kidney Int,73
Elsevier BV,Kidney Int Rep,1
Elsevier BV,Kidney Int Suppl,1
Elsevier BV,Lab Invest,57
Elsevier BV,Lancet,3
Elsevier BV,Lancet Oncol,1
Elsevier BV,Leuk Res,17
Elsevier BV,Life Sci,118
Elsevier BV,Life Sci Space Res (Amst),1
Elsevier BV,Lung Cancer,10
Elsevier BV,Magn Reson Imaging,1
Elsevier BV,Mar Environ Res,7
Elsevier BV,Mar Genomics,2
Elsevier BV,Mar Pollut Bull,4
Elsevier BV,Mater Sci Eng C Mater Biol Appl,18
Elsevier BV,Mater Today Bio,3
Elsevier BV,Math Biosci,6
Elsevier BV,Matrix Biol,26
Elsevier BV,Matrix Biol Plus,1
Elsevier BV,Maturitas,3
Elsevier BV,Mayo Clin Proc,1
Elsevier BV,Meat Sci,3
Elsevier BV,Mech Ageing Dev,16
Elsevier BV,Mech Dev,47
Elsevier BV,Med,3
Elsevier BV,Med Hypotheses,33
Elsevier BV,Metab Eng,24
Elsevier BV,Metabol Open,1
Elsevier BV,Metabolism,29
Elsevier BV,Methods,80
Elsevier BV,MethodsX,3
Elsevier BV,Microb Pathog,35
Elsevier BV,Microbes Infect,8
Elsevier BV,Microbiol Res,18
Elsevier BV,Micron,8
Elsevier BV,Microvasc Res,12
Elsevier BV,Mitochondrion,30
Elsevier BV,Mod Pathol,20
Elsevier BV,Mol Biochem Parasitol,63
Elsevier BV,Mol Cell,518
Elsevier BV,Mol Cell Biol Res Commun,2
Elsevier BV,Mol Cell Endocrinol,73
Elsevier BV,Mol Cell Neurosci,64
Elsevier BV,Mol Cell Probes,9
Elsevier BV,Mol Cell Proteomics,220
Elsevier BV,Mol Cells,55
Elsevier BV,Mol Genet Metab,27
Elsevier BV,Mol Genet Metab Rep,1
Elsevier BV,Mol Immunol,122
Elsevier BV,Mol Med Today,1
Elsevier BV,Mol Metab,16
Elsevier BV,Mol Phylogenet Evol,28
Elsevier BV,Mol Plant,58
Elsevier BV,Mol Ther,61
Elsevier BV,Mol Ther Nucleic Acids,14
Elsevier BV,Mucosal Immunol,20
Elsevier BV,Mult Scler Relat Disord,1
Elsevier BV,Mutat Res,24
Elsevier BV,Mycol Res,6
Elsevier BV,N Biotechnol,7
Elsevier BV,Nano Today,1
Elsevier BV,Nanomedicine,11
Elsevier BV,Neoplasia,38
Elsevier BV,Neural Netw,1
Elsevier BV,Neurobiol Aging,51
Elsevier BV,Neurobiol Dis,87
Elsevier BV,Neurobiol Learn Mem,16
Elsevier BV,Neurobiol Stress,1
Elsevier BV,Neurochem Int,55
Elsevier BV,Neuroimage,7
Elsevier BV,Neurologia (Engl Ed),1
Elsevier BV,Neuromuscul Disord,8
Elsevier BV,Neuron,116
Elsevier BV,Neuropeptides,7
Elsevier BV,Neuropharmacology,56
Elsevier BV,Neurosci Lett,100
Elsevier BV,Neurosci Res,12
Elsevier BV,Neuroscience,153
Elsevier BV,Neurotherapeutics,5
Elsevier BV,Neurotoxicol Teratol,1
Elsevier BV,Neurotoxicology,15
Elsevier BV,Nitric Oxide,22
Elsevier BV,Nucl Med Biol,22
Elsevier BV,Nutr Metab Cardiovasc Dis,4
Elsevier BV,Nutr Res,4
Elsevier BV,Nutrition,7
Elsevier BV,Obes Res Clin Pract,2
Elsevier BV,Ocul Surf,2
Elsevier BV,Ophthalmology,4
Elsevier BV,Oral Oncol,6
Elsevier BV,Oral Surg Oral Med Oral Pathol Oral Radiol Endod,1
Elsevier BV,Orthop Traumatol Surg Res,1
Elsevier BV,Osteoarthritis Cartilage,13
Elsevier BV,Pancreatology,5
Elsevier BV,Parasitol Int,15
Elsevier BV,Parkinsonism Relat Disord,1
Elsevier BV,Pathol Biol (Paris),1
Elsevier BV,Pathol Res Pract,27
Elsevier BV,Pathology,6
Elsevier BV,Pediatr Neurol,1
Elsevier BV,Peptides,38
Elsevier BV,Pestic Biochem Physiol,6
Elsevier BV,Pharmacol Biochem Behav,12
Elsevier BV,Pharmacol Res,23
Elsevier BV,Photodiagnosis Photodyn Ther,3
Elsevier BV,Phys Med,1
Elsevier BV,Physiol Behav,26
Elsevier BV,Phytochemistry,36
Elsevier BV,Phytomedicine,44
Elsevier BV,Placenta,25
Elsevier BV,Plant Commun,11
Elsevier BV,Plant Physiol Biochem,77
Elsevier BV,Plant Sci,41
Elsevier BV,Plasmid,10
Elsevier BV,Poult Sci,21
Elsevier BV,Pregnancy Hypertens,2
Elsevier BV,Presse Med,3
Elsevier BV,Prev Med,1
Elsevier BV,Prev Vet Med,4
Elsevier BV,Prim Care Diabetes,1
Elsevier BV,Prog Biophys Mol Biol,1
Elsevier BV,Prog Neurobiol,1
Elsevier BV,Prog Neuropsychopharmacol Biol Psychiatry,12
Elsevier BV,Prog Pediatr Cardiol,1
Elsevier BV,Prostaglandins Leukot Essent Fatty Acids,5
Elsevier BV,Prostaglandins Other Lipid Mediat,4
Elsevier BV,Protein Expr Purif,128
Elsevier BV,Protist,6
Elsevier BV,Psychiatry Res,5
Elsevier BV,Psychoneuroendocrinology,6
Elsevier BV,Pulm Pharmacol Ther,3
Elsevier BV,Radiother Oncol,1
Elsevier BV,Redox Biol,61
Elsevier BV,Regul Pept,16
Elsevier BV,Regul Toxicol Pharmacol,2
Elsevier BV,Rehabilitacion (Madr),1
Elsevier BV,Reprod Biol,7
Elsevier BV,Reprod Biomed Online,5
Elsevier BV,Reprod Toxicol,5
Elsevier BV,Res Microbiol,22
Elsevier BV,Res Pract Thromb Haemost,3
Elsevier BV,Res Vet Sci,18
Elsevier BV,Respir Med,1
Elsevier BV,Respir Physiol Neurobiol,6
Elsevier BV,Rev Argent Microbiol,1
Elsevier BV,Rev Assoc Med Bras (1992),1
Elsevier BV,Rev Esp Geriatr Gerontol,1
Elsevier BV,Rev Iberoam Micol,1
Elsevier BV,Rev Neurol (Paris),1
Elsevier BV,Rev Port Cardiol,1
Elsevier BV,SLAS Discov,9
Elsevier BV,SLAS Technol,3
Elsevier BV,STAR Protoc,16
Elsevier BV,Saudi Pharm J,2
Elsevier BV,Schizophr Res,10
Elsevier BV,Sci Bull (Beijing),3
Elsevier BV,Sci Total Environ,41
Elsevier BV,Seizure,2
Elsevier BV,Semin Cancer Biol,1
Elsevier BV,Semin Hematol,2
Elsevier BV,Semin Immunol,1
Elsevier BV,Sheng Wu Gong Cheng Xue Bao,9
Elsevier BV,Soc Sci Med,1
Elsevier BV,Spectrochim Acta A Mol Biomol Spectrosc,70
Elsevier BV,Spine J,3
Elsevier BV,Stem Cell Reports,36
Elsevier BV,Stem Cell Res,9
Elsevier BV,Steroids,22
Elsevier BV,Structure,308
Elsevier BV,Surg Neurol,1
Elsevier BV,Surg Obes Relat Dis,3
Elsevier BV,Surg Oncol,1
Elsevier BV,Surgery,12
Elsevier BV,Syst Appl Microbiol,4
Elsevier BV,Talanta,49
Elsevier BV,Theriogenology,40
Elsevier BV,Thromb Res,53
Elsevier BV,Ticks Tick Borne Dis,2
Elsevier BV,Tissue Cell,13
Elsevier BV,Toxicol Appl Pharmacol,59
Elsevier BV,Toxicol In Vitro,32
Elsevier BV,Toxicol Lett,50
Elsevier BV,Toxicol Rep,1
Elsevier BV,Toxicology,49
Elsevier BV,Toxicon,52
Elsevier BV,Transfus Apher Sci,2
Elsevier BV,Transl Oncol,5
Elsevier BV,Transl Res,15
Elsevier BV,Transpl Immunol,16
Elsevier BV,Transplant Cell Ther,1
Elsevier BV,Transplant Proc,13
Elsevier BV,Trends Biochem Sci,17
Elsevier BV,Trends Biotechnol,1
Elsevier BV,Trends Cancer,1
Elsevier BV,Trends Cell Biol,12
Elsevier BV,Trends Genet,3
Elsevier BV,Trends Immunol,5
Elsevier BV,Trends Microbiol,3
Elsevier BV,Trends Mol Med,4
Elsevier BV,Trends Neurosci,1
Elsevier BV,Trends Parasitol,1
Elsevier BV,Trends Pharmacol Sci,2
Elsevier BV,Trends Plant Sci,9
Elsevier BV,Tuberculosis (Edinb),10
Elsevier BV,Ultramicroscopy,5
Elsevier BV,Ultrason Sonochem,3
Elsevier BV,Ultrasound Med Biol,2
Elsevier BV,Urol Oncol,6
Elsevier BV,Urology,2
Elsevier BV,Vaccine,45
Elsevier BV,Vascul Pharmacol,7
Elsevier BV,Vet Immunol Immunopathol,27
Elsevier BV,Vet J,10
Elsevier BV,Vet Microbiol,32
Elsevier BV,Vet Parasitol,23
Elsevier BV,Vet Parasitol Reg Stud Reports,2
Elsevier BV,Virol Sin,13
Elsevier BV,Virology,215
Elsevier BV,Virus Res,74
Elsevier BV,Vision Res,2
Elsevier BV,Waste Manag,1
Elsevier BV,Water Res,9
Elsevier BV,World Allergy Organ J,1
Elsevier BV,World Neurosurg,3
Elsevier BV,Yi Chuan Xue Bao,5
Elsevier BV,Zoology (Jena),2
Elsevier BV,iScience,13
Environmental Health Perspectives,Environ Health Perspect,10
EpiSmart Science Vector Ltd,Asian Pac J Cancer Prev,8
"Esmon Publicidad, SA",J Investig Allergol Clin Immunol,2
European Cells and Materials,Eur Cell Mater,6
European Centre for Disease Control and Prevention (ECDC),Euro Surveill,4
European Respiratory Society (ERS),ERJ Open Res,2
European Respiratory Society (ERS),Eur Respir J,8
European Respiratory Society (ERS),Eur Respir Rev,1
F1000 Research Ltd,F1000Res,5
F1000 Research Ltd,Wellcome Open Res,2
FSBEI HE I.P. Pavlov SPbSMU MOH Russia,Vestn Khir Im I I Grek,2
FSBI Research Institute of Occupational Health RAMS,Med Tr Prom Ekol,2
Faculty of Food Technology and Biotechnology - University of Zagreb,Food Technol Biotechnol,2
"Faculty of Pharmacy and Pharmaceutical Sciences, University of Karachi",Pak J Pharm Sci,5
FapUNIFESP (SciELO),An Acad Bras Cienc,2
FapUNIFESP (SciELO),Arq Bras Cardiol,1
FapUNIFESP (SciELO),Braz Dent J,2
FapUNIFESP (SciELO),Braz J Infect Dis,3
FapUNIFESP (SciELO),Braz J Med Biol Res,17
FapUNIFESP (SciELO),Braz J Microbiol,2
FapUNIFESP (SciELO),Cad Saude Publica,1
FapUNIFESP (SciELO),Genet Mol Biol,3
FapUNIFESP (SciELO),Int Braz J Urol,2
FapUNIFESP (SciELO),J Appl Oral Sci,1
FapUNIFESP (SciELO),Mem Inst Oswaldo Cruz,11
FapUNIFESP (SciELO),Rev Assoc Med Bras (1992),1
FapUNIFESP (SciELO),Rev Hosp Clin Fac Med Sao Paulo,1
FapUNIFESP (SciELO),Rev Inst Med Trop Sao Paulo,1
FapUNIFESP (SciELO),Rev Soc Bras Med Trop,6
Federal Scientific Center for Hygiene F.F.Erisman,Gig Sanit,3
Federal State Budgetary Institution &quot;RIC &quot;Krasnaya Zvezda&quot; of the Ministry of Defense of Russia,Voen Med Zh,1
Ferrata Storti Foundation (Haematologica),Haematologica,33
Firenze University Press,Ital J Anat Embryol,3
Folium Publishing Company,Eksp Klin Farmakol,6
Fortune Journals,J Biotechnol Biomed,1
Forum Multimedia Publishing LLC,Eur Cell Mater,1
Forum Multimedia Publishing LLC,Heart Surg Forum,1
Frontiers Media SA,Acta Biochim Pol,24
Frontiers Media SA,Acta Virol,4
Frontiers Media SA,Exp Biol Med (Maywood),24
Frontiers Media SA,Front Aging,1
Frontiers Media SA,Front Aging Neurosci,5
Frontiers Media SA,Front Behav Neurosci,3
Frontiers Media SA,Front Bioeng Biotechnol,8
Frontiers Media SA,Front Bioinform,1
Frontiers Media SA,Front Cardiovasc Med,6
Frontiers Media SA,Front Cell Dev Biol,41
Frontiers Media SA,Front Cell Infect Microbiol,38
Frontiers Media SA,Front Cell Neurosci,8
Frontiers Media SA,Front Chem,8
Frontiers Media SA,Front Endocrinol (Lausanne),34
Frontiers Media SA,Front Epidemiol,1
Frontiers Media SA,Front Genet,28
Frontiers Media SA,Front Immunol,208
Frontiers Media SA,Front Integr Neurosci,1
Frontiers Media SA,Front Med (Lausanne),4
Frontiers Media SA,Front Microbiol,96
Frontiers Media SA,Front Mol Biosci,10
Frontiers Media SA,Front Mol Neurosci,16
Frontiers Media SA,Front Neural Circuits,4
Frontiers Media SA,Front Neuroanat,2
Frontiers Media SA,Front Neurol,6
Frontiers Media SA,Front Neurosci,11
Frontiers Media SA,Front Nutr,8
Frontiers Media SA,Front Oncol,36
Frontiers Media SA,Front Pharmacol,41
Frontiers Media SA,Front Phys,1
Frontiers Media SA,Front Physiol,30
Frontiers Media SA,Front Plant Sci,71
Frontiers Media SA,Front Psychiatry,1
Frontiers Media SA,Front Public Health,1
Frontiers Media SA,Front Synaptic Neurosci,3
Frontiers Media SA,Front Syst Neurosci,1
Frontiers Media SA,Front Trop Dis,1
Frontiers Media SA,Front Vet Sci,7
Frontiers Media SA,J Pharm Pharm Sci,2
Frontiers Media SA,Pathol Oncol Res,6
Frontiers Media SA,Transpl Int,2
"Galen, spol. s r.o.",Acta Chir Orthop Traumatol Cech,1
Galenos Yayinevi,Balkan Med J,2
Galenos Yayinevi,J Clin Res Pediatr Endocrinol,2
Galenos Yayinevi,Turkiye Parazitol Derg,3
Genetics Society of Japan,Genes Genet Syst,9
Genetics and Molecular Research,Genet Mol Res,35
Georg Thieme Verlag KG,Am J Perinatol,1
Georg Thieme Verlag KG,Arzneimittelforschung,3
Georg Thieme Verlag KG,Drug Res (Stuttg),1
Georg Thieme Verlag KG,Dtsch Med Wochenschr,1
Georg Thieme Verlag KG,Endoscopy,1
Georg Thieme Verlag KG,Exp Clin Endocrinol Diabetes,5
Georg Thieme Verlag KG,Hamostaseologie,3
Georg Thieme Verlag KG,Handchir Mikrochir Plast Chir,1
Georg Thieme Verlag KG,Horm Metab Res,7
Georg Thieme Verlag KG,Int J Sports Med,1
Georg Thieme Verlag KG,J Reconstr Microsurg,1
Georg Thieme Verlag KG,Klin Monbl Augenheilkd,1
Georg Thieme Verlag KG,Klin Padiatr,1
Georg Thieme Verlag KG,Neuropediatrics,1
Georg Thieme Verlag KG,Nuklearmedizin,1
Georg Thieme Verlag KG,Planta Med,9
Georg Thieme Verlag KG,Semin Reprod Med,1
Georg Thieme Verlag KG,Semin Thromb Hemost,6
Georg Thieme Verlag KG,TH Open,2
Georg Thieme Verlag KG,Thorac Cardiovasc Surg,2
Georg Thieme Verlag KG,Thromb Haemost,102
Georg Thieme Verlag KG,Ultraschall Med,1
Georg Thieme Verlag KG,Vet Comp Orthop Traumatol,1
Georg Thieme Verlag KG,Z Gastroenterol,1
Geotar-Media Publishing Group,Vopr Pitan,7
Gesellschaft Schweizer Tierarztinnen und Tierarzte,Schweiz Arch Tierheilkd,1
Grigore T. Popa University of Medicine and Pharmacy,Rev Med Chir Soc Med Nat Iasi,6
"HMP Communications, LLC",J Invasive Cardiol,1
Hacettepe University Institute of Child Health,Turk J Pediatr,1
Hindawi Limited,Acta Neurol Scand,3
Hindawi Limited,Adv Virol,1
Hindawi Limited,Anal Cell Pathol (Amst),3
Hindawi Limited,Andrologia,2
Hindawi Limited,Archaea,3
Hindawi Limited,Behav Neurol,2
Hindawi Limited,Biochem Res Int,1
Hindawi Limited,Bioinorg Chem Appl,1
Hindawi Limited,Biomed Res Int,74
Hindawi Limited,Breast J,1
Hindawi Limited,Cell Microbiol,65
Hindawi Limited,Cell Oncol,2
Hindawi Limited,Clin Dev Immunol,1
Hindawi Limited,Comp Funct Genomics,1
Hindawi Limited,Comput Math Methods Med,7
Hindawi Limited,Contrast Media Mol Imaging,1
Hindawi Limited,Dermatol Res Pract,1
Hindawi Limited,Dermatol Ther,1
Hindawi Limited,Dis Markers,8
Hindawi Limited,Enzyme Res,1
Hindawi Limited,Evid Based Complement Alternat Med,5
Hindawi Limited,Exp Diabetes Res,3
Hindawi Limited,Gastroenterol Res Pract,1
Hindawi Limited,Genet Res,1
Hindawi Limited,Genet Res (Camb),1
Hindawi Limited,Hum Mutat,40
Hindawi Limited,ISRN Neurol,1
Hindawi Limited,Int J Alzheimers Dis,1
Hindawi Limited,Int J Endocrinol,1
Hindawi Limited,Int J Genomics,1
Hindawi Limited,Int J Pept,1
Hindawi Limited,J Amino Acids,1
Hindawi Limited,J Anal Methods Chem,1
Hindawi Limited,J Biomed Biotechnol,3
Hindawi Limited,J Card Surg,1
Hindawi Limited,J Diabetes Res,6
Hindawi Limited,J Food Biochem,1
Hindawi Limited,J Immunol Res,13
Hindawi Limited,J Lipids,1
Hindawi Limited,J Nucleic Acids,1
Hindawi Limited,J Oncol,14
Hindawi Limited,J Parasitol Res,1
Hindawi Limited,J Signal Transduct,1
Hindawi Limited,J Tissue Eng Regen Med,15
Hindawi Limited,Mediators Inflamm,27
Hindawi Limited,Neural Plast,5
Hindawi Limited,Oxid Med Cell Longev,64
Hindawi Limited,PPAR Res,1
Hindawi Limited,Parkinsons Dis,1
Hindawi Limited,Pediatr Diabetes,2
Hindawi Limited,ScientificWorldJournal,3
Hindawi Limited,Scientifica (Cairo),1
Hindawi Limited,Stem Cells Int,5
Hindawi Limited,Transbound Emerg Dis,2
Hogrefe Publishing Group,Int J Vitam Nutr Res,1
Hogrefe Publishing Group,Vasa,1
Human Kinetics,Int J Sport Nutr Exerc Metab,2
Humana Press,Methods Mol Biol,312
Humana Press,Methods Mol Med,16
IEEE,Annu Int Conf IEEE Eng Med Biol Soc,8
IEEE,Conf Proc IEEE Eng Med Biol Soc,1
IEEE,Proc IEEE Comput Syst Bioinform Conf,1
IMR Press,Clin Exp Obstet Gynecol,1
IMR Press,Front Biosci,9
IMR Press,Front Biosci (Elite Ed),3
