pmid,journal,doi,issn
29461224,Georgian Med News,,1512-0112
25862865,Anticancer Res,,1791-7530
12912935,Clin Cancer Res,,1078-0432
24027667,Cell J,,2228-5806
19562965,Pol Arch Med Wewn,,
16101018,Ital J Anat Embryol,,1122-6714
29372961,Genetika,,0016-6758
15636134,Zh Mikrobiol Epidemiol Immunobiol,,0372-9311
27861481,Gac Med Mex,,0016-3813
11702666,Zhonghua Yi Xue Za Zhi,,0376-2491
17951821,Comput Syst Bioinformatics Conf,,1752-7791
25844451,Mikrobiologiia,,0026-3656
19705792,Klin Med (Mosk),,0023-2149
29509392,Prikl Biokhim Mikrobiol,,0555-1099
22761186,Iran J Allergy Asthma Immunol,,1735-1502
10769173,Biochem J,,0264-6021
14708435,Ter Arkh,,0040-3660
19119612,Sheng Li Ke Xue Jin Zhan,,0559-7765
21877552,Undersea Hyperb Med,,1066-2936
15055488,Indian J Med Res,,0971-5916
18402291,Asian Pac J Allergy Immunol,,0125-877X
14726678,Cell Cycle,,1538-4101
25842401,Eksp Klin Gastroenterol,,1682-8658
26845853,Genetika,,0016-6758
17273753,Oncol Rep,,1021-335X
11497105,Membr Cell Biol,,1023-6597
11396193,Anticancer Res,,0250-7005
11732620,Acta Biochim Pol,,0001-527X
12395931,Biotechniques,,0736-6205
18540434,Arkh Patol,,0004-1955
10945626,Cancer Res,,0008-5472
17672939,Ai Zheng,,
18095520,J Heart Valve Dis,,0966-8519
23510838,Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi,,1001-9391
15375530,Int J Oncol,,1019-6439
14509360,Pol J Vet Sci,,1505-1773
11451350,J Androl,,0196-3635
10835883,Nippon Ganka Gakkai Zasshi,,0029-0203
19069790,Vopr Virusol,,0507-4088
22117442,Biofizika,,0006-3029
30601623,Klin Lab Diagn,,0869-2084
21500556,Sichuan Da Xue Xue Bao Yi Xue Ban,,1672-173X
12437234,Indian J Chest Dis Allied Sci,,0377-9343
19634757,Bing Du Xue Bao,,1000-8721
15854490,Zhonghua Yi Xue Za Zhi,,0376-2491
16342666,Biomed Khim,,2310-6972
20193257,Chin Med J (Engl),,2542-5641
15034288,Korean J Gastroenterol,,1598-9992
11867591,Invest Ophthalmol Vis Sci,,0146-0404
32269740,Am J Transl Res,,1943-8141
37665724,J Assoc Genet Technol,,1523-7834
20717637,Sheng Li Xue Bao,,0371-0874
17639987,Zhongguo Zhong Yao Za Zhi,,1001-5302
10944156,J Exp Bot,,0022-0957
11788774,Plant Physiol,,0032-0889
12231479,Eur Cytokine Netw,,1148-5493
11916135,J Enzyme Inhib,,8755-5093
18813787,Int J Oncol,,1019-6439
37515338,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
18664130,Tsitologiia,,0041-3771
12670892,Cancer Res,,0008-5472
15208742,Mol Med,,1076-1551
29212581,Comp Med,,2769-819X
26744869,Eur Rev Med Pharmacol Sci,,2284-0729
16042885,Zhonghua Gan Zang Bing Za Zhi,,1007-3418
18528967,J Rheumatol,,0315-162X
18669302,Zh Obshch Biol,,0044-4596
28613662,StatPearls,,
15964967,Am J Trop Med Hyg,,0002-9637
16636373,Georgian Med News,,1512-0112
28975966,Eur Rev Med Pharmacol Sci,,2284-0729
27347333,Am J Transl Res,,1943-8141
25352738,Mol Vis,,1090-0535
17380886,Mol Biol (Mosk),,0026-8984
21557907,Xi Bao Yu Fen Zi Mian Yi Xue Za Zhi,,1007-8738
11776324,Thromb Haemost,,0340-6245
16579077,Bull Soc Pathol Exot,,0037-9085
16741026,Exp Biol Med (Maywood),,1535-3702
19069647,Wei Sheng Yan Jiu,,1000-8020
27681547,J Vector Borne Dis,,0972-9062
11360674,Acta Pharmacol Sin,,1671-4083
19081849,Acta Biochim Pol,,0001-527X
21965782,Anticancer Res,,1791-7530
19533890,Asia Pac J Public Health,,1010-5395
15747869,Vopr Virusol,,0507-4088
10766736,Genes Dev,,0890-9369
16395491,Hamostaseologie,,0720-9355
24902367,Anal Quant Cytopathol Histpathol,,2578-742X
19108467,Zhongguo Gu Shang,,1003-0034
18468426,Pol Arch Med Wewn,,
12820370,Anticancer Res,,0250-7005
12593473,Clin Lab,,1433-6510
18304426,Zhonghua Gan Zang Bing Za Zhi,,1007-3418
20608180,Mol Biol (Mosk),,0026-8984
